"date","indeed_job_postings_index_a","date-2","display_name","hiring_surplus"
"2023-06-02","150.32","2023-06-02","Marketing","60.87"
"2023-06-02","150.32","2023-06-02","Mathematics","60.81"
"2023-06-02","150.32","2023-06-02","Information Design & Documentation","60.52"
"2023-06-02","150.32","2023-06-02","Software Development","58.21"
"2023-06-02","150.32","2023-06-02","Media & Communications","54.87"
"2023-06-02","150.32","2023-06-02","IT Operations & Helpdesk","51.70"
"2023-06-02","150.32","2023-06-02","Hospitality & Tourism","47.18"
"2023-06-02","150.32","2023-06-02","Arts & Entertainment","46.63"
"2023-06-02","150.32","2023-06-02","Sales","45.74"
"2023-06-02","150.32","2023-06-02","Banking & Finance","44.08"
"2023-06-02","150.32","2023-06-02","Beauty & Wellness","42.00"
"2023-06-02","130.24","2023-06-02","Marketing","40.79"
"2023-06-02","130.24","2023-06-02","Mathematics","40.73"
"2023-06-02","150.32","2023-06-02","Customer Service","40.53"
"2023-06-02","130.24","2023-06-02","Information Design & Documentation","40.44"
"2023-06-02","130.24","2023-06-02","Software Development","38.13"
"2023-06-02","150.32","2023-06-02","Human Resources","37.34"
"2023-06-02","130.24","2023-06-02","Media & Communications","34.79"
"2023-06-02","150.32","2023-06-02","Scientific Research & Development","33.54"
"2023-06-02","150.32","2023-06-02","Management","32.06"
"2023-06-02","130.24","2023-06-02","IT Operations & Helpdesk","31.62"
"2023-06-02","150.32","2023-06-02","Architecture","31.22"
"2023-06-02","150.32","2023-06-02","Industrial Engineering","29.62"
"2023-06-02","130.24","2023-06-02","Hospitality & Tourism","27.10"
"2023-06-02","150.32","2023-06-02","Logistic Support","26.74"
"2023-06-02","150.32","2023-06-02","Retail","26.68"
"2023-06-02","130.24","2023-06-02","Arts & Entertainment","26.55"
"2023-06-02","130.24","2023-06-02","Sales","25.66"
"2023-06-02","150.32","2023-06-02","Food Preparation & Service","24.56"
"2023-06-02","130.24","2023-06-02","Banking & Finance","24.00"
"2023-06-02","150.32","2023-06-02","Project Management","22.84"
"2023-06-02","130.24","2023-06-02","Beauty & Wellness","21.92"
"2023-06-02","130.24","2023-06-02","Customer Service","20.45"
"2023-06-02","150.32","2023-06-02","total postings","20.08"
"2023-06-02","130.24","2023-06-02","Human Resources","17.26"
"2023-06-02","150.32","2023-06-02","Cleaning & Sanitation","16.26"
"2023-06-02","150.32","2023-06-02","Loading & Stocking","14.68"
"2023-06-02","130.24","2023-06-02","Scientific Research & Development","13.46"
"2023-06-02","130.24","2023-06-02","Management","11.98"
"2023-06-02","150.32","2023-06-02","Installation & Maintenance","11.55"
"2023-06-02","130.24","2023-06-02","Architecture","11.14"
"2023-06-02","150.32","2023-06-02","Insurance","10.80"
"2023-06-02","150.32","2023-06-02","Medical Information","10.44"
"2023-06-02","150.32","2023-06-02","Legal","10.24"
"2023-06-02","130.24","2023-06-02","Industrial Engineering","9.54"
"2023-06-02","150.32","2023-06-02","Administrative Assistance","8.58"
"2023-06-02","150.32","2023-06-02","Sports","8.15"
"2023-06-02","150.32","2023-06-02","Security & Public Safety","7.37"
"2023-06-02","130.24","2023-06-02","Logistic Support","6.66"
"2023-06-02","130.24","2023-06-02","Retail","6.60"
"2023-06-02","130.24","2023-06-02","Food Preparation & Service","4.48"
"2023-06-02","150.32","2023-06-02","Accounting","3.32"
"2023-06-02","130.24","2023-06-02","Project Management","2.76"
"2023-06-02","150.32","2023-06-02","Driving","2.69"
"2023-06-02","150.32","2023-06-02","Community & Social Service","0.14"
"2023-06-02","150.32","2023-06-02","new postings","0.00"
"2023-06-02","130.24","2023-06-02","total postings","0.00"
"2023-06-02","150.32","2023-06-02","Construction","-0.65"
"2023-06-02","150.32","2023-06-02","Education & Instruction","-1.21"
"2023-06-02","150.32","2023-06-02","Nursing","-1.45"
"2023-06-02","150.32","2023-06-02","Veterinary","-3.04"
"2023-06-02","130.24","2023-06-02","Cleaning & Sanitation","-3.82"
"2023-06-02","130.24","2023-06-02","Loading & Stocking","-5.40"
"2023-06-02","150.32","2023-06-02","Electrical Engineering","-7.45"
"2023-06-02","130.24","2023-06-02","Installation & Maintenance","-8.53"
"2023-06-02","150.32","2023-06-02","Production & Manufacturing","-8.84"
"2023-06-02","150.32","2023-06-02","Medical Technician","-8.86"
"2023-06-02","130.24","2023-06-02","Insurance","-9.28"
"2023-06-02","130.24","2023-06-02","Medical Information","-9.64"
"2023-06-02","130.24","2023-06-02","Legal","-9.84"
"2023-06-02","150.32","2023-06-02","Dental","-10.73"
"2023-06-02","130.24","2023-06-02","Administrative Assistance","-11.50"
"2023-06-02","130.24","2023-06-02","Sports","-11.93"
"2023-06-02","150.32","2023-06-02","Childcare","-12.46"
"2023-06-02","130.24","2023-06-02","Security & Public Safety","-12.71"
"2023-06-02","130.24","2023-06-02","Accounting","-16.76"
"2023-06-02","130.24","2023-06-02","Driving","-17.39"
"2023-06-02","150.32","2023-06-02","Therapy","-19.06"
"2023-06-02","130.24","2023-06-02","Community & Social Service","-19.94"
"2023-06-02","130.24","2023-06-02","new postings","-20.08"
"2023-06-02","130.24","2023-06-02","Construction","-20.73"
"2023-06-02","150.32","2023-06-02","Personal Care & Home Health","-20.79"
"2023-06-02","130.24","2023-06-02","Education & Instruction","-21.29"
"2023-06-02","130.24","2023-06-02","Nursing","-21.53"
"2023-06-02","150.32","2023-06-02","Pharmacy","-22.22"
"2023-06-02","130.24","2023-06-02","Veterinary","-23.12"
"2023-06-02","130.24","2023-06-02","Electrical Engineering","-27.53"
"2023-06-02","130.24","2023-06-02","Production & Manufacturing","-28.92"
"2023-06-02","130.24","2023-06-02","Medical Technician","-28.94"
"2023-06-02","130.24","2023-06-02","Dental","-30.81"
"2023-06-02","150.32","2023-06-02","Civil Engineering","-31.18"
"2023-06-02","130.24","2023-06-02","Childcare","-32.54"
"2023-06-02","150.32","2023-06-02","Physicians & Surgeons","-37.12"
"2023-06-02","130.24","2023-06-02","Therapy","-39.14"
"2023-06-02","130.24","2023-06-02","Personal Care & Home Health","-40.87"
"2023-06-02","130.24","2023-06-02","Pharmacy","-42.30"
"2023-06-02","130.24","2023-06-02","Civil Engineering","-51.26"
"2023-06-02","130.24","2023-06-02","Physicians & Surgeons","-57.20"
